BN	TN	SubNum	hand	isTrain	isChanged	symbol	cue	isMasked	digitChangePos	digitChangeValue	precueTime	windowSize	press1	press2	press3	press4	press5	press6	press7	RT	ET	MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	crossTime
37	1	3	2	0	0	%	4253513	0	-1	0	912	1	4	2	5	3	5	1	3	550	3440	2890	0	0	2	4	2	5	3	5	1	3	2	2	2	2	2	2	2	1465	1865	2280	2705	3175	3665	4150	3500	2940	0	-1	7570	-1	-1	0	0	0
37	2	3	2	0	0	%	2414531	0	-1	0	811	2	2	4	1	4	5	3	1	585	2450	1865	0	0	3	2	4	1	4	5	3	1	2	2	2	2	2	2	2	1400	1655	1965	2220	2510	2760	3015	3500	2940	0	-1	6480	-1	-1	0	0	0
37	3	3	2	1	0	#	1324353	1	-1	0	648	3	1	3	2	4	3	5	3	585	2010	1425	0	0	3	1	3	2	4	3	5	3	2	2	2	2	2	2	2	1235	1480	1875	2050	2215	2360	2495	3500	2940	0	-1	5875	-1	-1	0	0	0
37	4	3	2	1	0	$	1413521	1	-1	0	822	2	1	4	1	3	5	2	1	310	1295	985	0	0	3	1	4	1	3	5	2	1	2	2	2	2	2	2	2	1135	1275	1420	1560	1725	1815	1915	3500	2940	0	-1	5335	-1	-1	0	0	0
37	5	3	2	1	0	$	1413521	1	-1	0	909	1	1	4	1	3	5	2	1	335	1300	965	0	0	3	1	4	1	3	5	2	1	2	2	2	2	2	2	2	1245	1400	1530	1660	1790	1885	1985	3500	2940	0	-1	5425	-1	-1	0	0	0
37	6	3	2	0	0	%	4125213	0	-1	0	604	3	4	1	2	5	2	1	3	665	2220	1555	0	0	3	4	1	2	5	2	1	3	2	2	2	2	2	2	2	1270	1460	1680	1950	2200	2370	2610	3500	2940	0	-1	6040	-1	-1	0	0	0
37	7	3	2	1	0	#	1324353	0	-1	0	711	1	1	3	2	4	3	5	3	470	1875	1405	0	0	3	1	3	2	4	3	5	3	2	2	2	2	2	2	2	1185	1520	1845	2025	2140	2270	2395	3500	2940	0	-1	5805	-1	-1	0	0	0
37	8	3	2	1	0	$	1413521	0	-1	0	692	1	1	4	1	3	5	2	1	265	1225	960	0	0	3	1	4	1	3	5	2	1	2	2	2	2	2	2	2	960	1125	1275	1395	1525	1615	1695	3500	2940	0	-1	5135	-1	-1	0	0	0
37	9	3	2	1	0	#	1324353	1	-1	0	636	7	1	3	2	4	3	5	3	400	1365	965	0	0	3	1	3	2	4	3	5	3	2	2	2	2	2	2	2	1040	1180	1315	1450	1585	1710	1835	3500	2940	0	-1	5220	-1	-1	0	0	0
37	10	3	2	1	0	$	1413521	0	-1	0	910	7	1	4	1	3	5	2	1	265	1240	975	0	0	3	1	4	1	3	5	2	1	2	2	2	2	2	2	2	1175	1350	1500	1635	1745	1815	1905	3500	2940	0	-1	5365	-1	-1	0	0	0
37	11	3	2	1	0	$	1413521	0	-1	0	811	3	1	4	1	3	5	2	1	290	1875	1585	1	0	0	1	4	3	5	2	1	1	2	2	2	2	2	2	2	1105	1280	1540	1650	1755	1835	2400	3500	2940	0	-1	5905	-1	-1	0	0	0
37	12	3	2	1	0	$	1413521	1	-1	0	884	7	1	4	1	3	5	2	1	400	1510	1110	0	0	3	1	4	1	3	5	2	1	2	2	2	2	2	2	2	1285	1460	1655	1800	1935	2030	2115	3500	2940	0	-1	5610	-1	-1	0	0	0
37	13	3	2	1	0	#	1324353	0	-1	0	602	2	1	3	2	4	3	5	3	500	1625	1125	0	0	3	1	3	2	4	3	5	3	2	2	2	2	2	2	2	1105	1270	1410	1565	1725	1880	2025	3500	2940	0	-1	5445	-1	-1	0	0	0
37	14	3	2	0	0	%	3125354	0	-1	0	734	7	3	1	2	5	3	5	4	645	2930	2285	1	0	0	3	1	2	5	3	4	4	2	2	2	2	2	2	2	1380	1585	1805	2020	2190	2500	3385	3500	2940	0	-1	6880	-1	-1	0	0	0
37	15	3	2	1	0	#	1324353	1	-1	0	755	2	1	3	2	4	3	5	3	800	2295	1495	0	0	3	1	3	2	4	3	5	3	2	2	2	2	2	2	2	1555	2085	2270	2405	2560	2735	2875	3500	2940	0	-1	6265	-1	-1	0	0	0
37	16	3	2	1	0	#	1324353	1	-1	0	757	1	1	3	2	4	3	5	3	275	1450	1175	0	0	3	1	3	2	4	3	5	3	2	2	2	2	2	2	2	1035	1190	1365	1525	1675	1845	1990	3500	2940	0	-1	5425	-1	-1	0	0	0
37	17	3	2	0	0	%	1253415	0	-1	0	864	2	1	2	5	3	4	1	5	515	2470	1955	0	0	3	1	2	5	3	4	1	5	2	2	2	2	2	2	2	1380	1605	1870	2130	2410	2715	3105	3500	2940	0	-1	6550	-1	-1	0	0	0
37	18	3	2	1	0	$	1413521	1	-1	0	977	3	1	4	1	3	5	2	1	380	1495	1115	0	0	3	1	4	1	3	5	2	1	2	2	2	2	2	2	2	1360	1535	1710	1835	1960	2105	2210	3500	2940	0	-1	5690	-1	-1	0	0	0
37	19	3	2	1	0	#	1324353	0	-1	0	634	7	1	3	2	4	3	5	3	475	1740	1265	0	0	3	1	3	2	4	3	5	3	2	2	2	2	2	2	2	1110	1260	1420	1605	1770	1930	2085	3500	2940	0	-1	5590	-1	-1	0	0	0
37	20	3	2	1	0	$	1413521	0	-1	0	985	2	1	4	1	3	5	2	1	275	1370	1095	0	0	3	1	4	1	3	5	2	1	2	2	2	2	2	2	2	1260	1425	1595	1770	1865	1995	2115	3500	2940	0	-1	5570	-1	-1	0	0	0
37	21	3	2	1	0	#	1324353	0	-1	0	841	3	1	3	2	4	3	5	3	335	1670	1335	0	0	3	1	3	2	4	3	5	3	2	2	2	2	2	2	2	1180	1360	1620	1805	1970	2130	2265	3500	2940	0	-1	5730	-1	-1	0	0	0
37	22	3	2	0	0	%	5424153	0	-1	0	938	7	5	4	2	4	1	5	3	610	2200	1590	0	0	3	5	4	2	4	1	5	3	2	2	2	2	2	2	2	1550	1805	2070	2295	2555	2805	2950	3500	2940	0	-1	6355	-1	-1	0	0	0
37	23	3	2	0	0	%	2524134	0	-1	0	923	3	2	5	2	4	1	3	4	670	2320	1650	0	0	3	2	5	2	4	1	3	4	2	2	2	2	2	2	2	1595	1810	2050	2295	2520	2745	3025	3500	2940	0	-1	6460	-1	-1	0	0	0
37	24	3	2	0	0	%	4312512	0	-1	0	823	1	4	3	1	2	5	1	2	520	3020	2500	0	0	2	4	3	1	2	5	1	2	2	2	2	2	2	2	2	1345	1695	2145	2495	2885	3305	3665	3500	2940	0	-1	7060	-1	-1	0	0	0
38	1	3	2	1	0	#	1324353	0	-1	0	816	2	1	3	2	4	3	5	3	440	1835	1395	0	0	1	1	3	2	4	3	5	3	2	2	2	2	2	2	2	1260	1465	1655	1905	2090	2365	2475	1790.25	1670.9	0	-1	5870	-1	-1	0	0	0
38	2	3	2	1	0	$	1413521	1	-1	0	926	1	1	4	1	3	5	2	1	350	1275	925	0	0	3	1	4	1	3	5	2	1	2	2	2	2	2	2	2	1280	1455	1620	1730	1815	1910	2010	1790.25	1670.9	0	-1	5420	-1	-1	0	0	0
38	3	3	2	1	1	$	1413521	0	3	2	931	2	1	4	1	2	5	2	1	340	2485	2145	1	0	0	1	4	1	3	5	2	1	2	2	2	2	2	2	2	1275	1455	1630	1850	2595	2920	3160	1790.25	1670.9	0	-1	6635	-1	-1	0	0	0
38	4	3	2	1	0	#	1324353	1	-1	0	919	1	1	3	2	4	3	5	3	380	1420	1040	0	0	3	1	3	2	4	3	5	3	2	2	2	2	2	2	2	1300	1450	1600	1755	1875	2025	2155	1790.25	1670.9	0	-1	5555	-1	-1	0	0	0
38	5	3	2	1	0	$	1413521	0	-1	0	840	7	1	4	1	3	5	2	1	450	1550	1100	0	0	3	1	4	1	3	5	2	1	2	2	2	2	2	2	2	1290	1480	1655	1830	1950	2080	2155	1790.25	1670.9	0	-1	5605	-1	-1	0	0	0
